wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,p_h,sulphates,alcohol,quality,region
35,58,0.27,0.2,14.95,0.044,22,179,0.9962,337,0.37,102,4.83,Spain
36,73,0.28,0.43,1.7,0.08,21,123,0.9905,319,0.42,128,5.19,Italy
37,65,0.39,0.23,5.4,0.051,25,149,0.9934,324,0.35,10,4.63,Australia
38,7,0.33,0.32,1.2,0.053,38,138,0.9906,313,0.28,112,6.43,Italy
39,73,0.24,0.39,17.95,0.057,45,149,0.9999,321,0.36,86,5.44,France
40,73,0.24,0.39,17.95,0.057,45,149,0.9999,321,0.36,86,4.98,France
41,67,0.23,0.39,2.5,0.172,63,158,0.9937,311,0.36,94,5.77,USA
42,67,0.24,0.39,2.9,0.173,63,157,0.9937,31,0.34,94,6.35,Italy
43,7,0.31,0.26,7.4,0.069,28,160,0.9954,313,0.46,98,6.14,USA
44,66,0.24,0.27,1.4,0.057,33,152,0.9934,322,0.56,95,6.17,Italy
45,67,0.23,0.26,1.4,0.06,33,154,0.9934,324,0.56,95,6.25,Italy
46,74,0.18,0.31,1.4,0.058,38,167,0.9931,316,0.53,10,7.28,Italy
47,62,0.45,0.26,4.4,0.063,63,206,0.994,327,0.52,98,3.7199999999999998,France
48,62,0.46,0.25,4.4,0.066,62,207,0.9939,325,0.52,98,4.54,France
49,7,0.31,0.26,7.4,0.069,28,160,0.9954,313,0.46,98,5.94,Italy
50,69,0.19,0.35,5,0.067,32,150,0.995,336,0.48,98,5.0600000000000005,France
51,72,0.19,0.31,1.6,0.062,31,173,0.9917,335,0.44,117,5.79,Italy
52,66,0.25,0.29,1.1,0.068,39,124,0.9914,334,0.58,11,6.57,USA
53,62,0.16,0.33,1.1,0.057,21,82,0.991,332,0.46,109,7.01,Italy
54,64,0.18,0.35,1,0.045,39,108,0.9911,331,0.35,109,6.1,Italy
55,68,0.2,0.59,0.9,0.147,38,132,0.993,305,0.38,91,6.18,France
56,69,0.25,0.35,1.3,0.039,29,191,0.9908,313,0.52,11,5.57,USA
57,72,0.21,0.34,11.9,0.043,37,213,0.9962,309,0.5,96,5.82,USA
58,6,0.19,0.26,12.4,0.048,50,147,0.9972,33,0.36,89,5.71,Italy
59,66,0.38,0.15,4.6,0.044,25,78,0.9931,311,0.38,102,6.16,France
60,74,0.2,0.36,1.2,0.038,44,111,0.9926,336,0.34,99,5.98,Spain
61,68,0.22,0.24,4.9,0.092,30,123,0.9951,303,0.46,86,5.5,Australia
62,6,0.19,0.26,12.4,0.048,50,147,0.9972,33,0.36,89,6.32,Italy
63,7,0.47,0.07,1.1,0.035,17,151,0.991,302,0.34,105,5.01,France
64,66,0.38,0.15,4.6,0.044,25,78,0.9931,311,0.38,102,5.58,Spain
65,72,0.24,0.27,1.4,0.038,31,122,0.9927,315,0.46,103,6.32,Australia
66,62,0.35,0.03,1.2,0.064,29,120,0.9934,322,0.54,91,5.49,Spain
67,64,0.26,0.24,6.4,0.04,27,124,0.9903,322,0.49,126,7.5,Italy
68,67,0.25,0.13,1.2,0.041,81,174,0.992,314,0.42,98,4.75,Australia
69,67,0.23,0.31,2.1,0.046,30,96,0.9926,333,0.64,107,7.98,Australia
70,74,0.24,0.29,10.1,0.05,21,105,0.9962,313,0.35,95,5.49,Spain
71,62,0.27,0.43,7.8,0.056,48,244,0.9956,31,0.51,9,5.86,Italy
72,68,0.3,0.23,4.6,0.061,505,2385,0.9958,332,0.6,95,5.38,Australia
73,6,0.27,0.28,4.8,0.063,31,201,0.9964,369,0.71,10,5.12,USA
74,86,0.23,0.46,1,0.054,9,72,0.9941,295,0.49,91,6.2,Australia
75,67,0.23,0.31,2.1,0.046,30,96,0.9926,333,0.64,107,7.5,Australia
76,74,0.24,0.29,10.1,0.05,21,105,0.9962,313,0.35,95,4.73,France
77,71,0.18,0.36,1.4,0.043,31,87,0.9898,326,0.37,127,7.33,France
78,7,0.32,0.34,1.3,0.042,20,69,0.9912,331,0.65,12,7.15,Spain
79,74,0.18,0.3,8.8,0.064,26,103,0.9961,294,0.56,93,5.3,USA
80,67,0.54,0.28,5.4,0.06,21,105,0.9949,327,0.37,9,5.46,Spain
81,68,0.22,0.31,1.4,0.053,34,114,0.9929,339,0.77,106,5.95,Australia
82,71,0.2,0.34,16,0.05,51,166,0.9985,321,0.6,92,5.62,USA
83,71,0.34,0.2,6.1,0.063,47,164,0.9946,317,0.42,10,5.45,France
84,73,0.22,0.3,8.2,0.047,42,207,0.9966,333,0.46,95,6,Spain
85,71,0.43,0.61,11.8,0.045,54,155,0.9974,311,0.45,87,5.05,Australia
86,71,0.44,0.62,11.8,0.044,52,152,0.9975,312,0.46,87,5.84,USA
87,72,0.39,0.63,11,0.044,55,156,0.9974,309,0.44,87,5.51,Spain
88,68,0.25,0.31,13.3,0.05,69,202,0.9972,322,0.48,97,6.11,Italy
89,71,0.43,0.61,11.8,0.045,54,155,0.9974,311,0.45,87,5,Australia
90,71,0.44,0.62,11.8,0.044,52,152,0.9975,312,0.46,87,6.49,Italy
91,72,0.39,0.63,11,0.044,55,156,0.9974,309,0.44,87,5.58,USA
92,61,0.27,0.43,7.5,0.049,65,243,0.9957,312,0.47,9,4.93,Spain
93,69,0.24,0.33,1.7,0.035,47,136,0.99,326,0.4,126,6.65,Italy
94,69,0.21,0.33,1.8,0.034,48,136,0.9899,325,0.41,126,7.2,Italy
95,75,0.17,0.32,1.7,0.04,51,148,0.9916,321,0.44,115,7.46,USA
96,71,0.26,0.29,12.4,0.044,62,240,0.9969,304,0.42,92,6.38,France
97,6,0.34,0.66,15.9,0.046,26,164,0.9979,314,0.5,88,5.64,Australia
98,86,0.265,0.36,1.2,0.034,15,80,0.9913,295,0.36,114,7.29,France
99,98,0.36,0.46,10.5,0.038,4,83,0.9956,289,0.3,101,3.86,USA
100,6,0.34,0.66,15.9,0.046,26,164,0.9979,314,0.5,88,5.82,Italy
101,74,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,91,5.09,Australia
102,71,0.12,0.32,9.6,0.054,64,162,0.9962,34,0.41,94,5.05,Australia
103,6,0.21,0.24,12.1,0.05,55,164,0.997,334,0.39,94,4.65,Italy
104,75,0.305,0.4,18.9,0.059,44,170,1,299,0.46,9,5.32,France
105,74,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,91,4.96,Spain
106,73,0.13,0.32,14.4,0.051,34,109,0.9974,32,0.35,92,6.08,USA
107,71,0.12,0.32,9.6,0.054,64,162,0.9962,34,0.41,94,4.87,France
108,71,0.23,0.35,16.5,0.04,60,171,0.999,316,0.59,91,6.16,USA
109,71,0.23,0.35,16.5,0.04,60,171,0.999,316,0.59,91,5.89,Australia
110,69,0.33,0.28,1.3,0.051,37,187,0.9927,327,0.6,103,4.63,Italy
111,65,0.17,0.54,8.5,0.082,64,163,0.9959,289,0.39,88,5.94,Australia
112,72,0.27,0.46,18.75,0.052,45,255,1,304,0.52,89,4.82,France
113,72,0.31,0.5,13.3,0.056,68,195,0.9982,301,0.47,92,4.52,France
114,67,0.41,0.34,9.2,0.049,29,150,0.9968,322,0.51,91,5.5,France
115,67,0.41,0.34,9.2,0.049,29,150,0.9968,322,0.51,91,4.72,Spain
116,55,0.485,0,1.5,0.065,8,103,0.994,363,0.4,97,3.62,France
117,6,0.31,0.24,3.3,0.041,25,143,0.9914,331,0.44,113,5.86,Italy
118,7,0.14,0.4,1.7,0.035,16,85,0.9911,319,0.42,118,6.39,Italy
119,72,0.31,0.5,13.3,0.056,68,195,0.9982,301,0.47,92,4.88,USA
120,73,0.32,0.48,13.3,0.06,57,196,0.9982,304,0.5,92,4.64,Spain
121,59,0.36,0.04,5.7,0.046,21,87,0.9934,322,0.51,102,4.58,France
122,78,0.24,0.32,12.2,0.054,42,138,0.9984,301,0.54,88,4.9,USA
123,74,0.16,0.31,6.85,0.059,31,131,0.9952,329,0.34,97,4.71,USA
124,69,0.19,0.28,5,0.058,14,146,0.9952,329,0.36,91,6.27,France
125,64,0.13,0.47,1.6,0.092,40,158,0.9928,321,0.36,98,6.04,Italy
126,67,0.19,0.36,1.1,0.026,63,143,0.9912,327,0.48,11,5.91,Spain
127,74,0.39,0.23,7,0.033,29,126,0.994,314,0.42,105,5.03,Spain
128,65,0.24,0.32,7.6,0.038,48,203,0.9958,345,0.54,97,6.71,Australia
129,61,0.3,0.56,2.8,0.044,47,179,0.9924,33,0.57,109,6.58,Spain
130,61,0.3,0.56,2.7,0.046,46,184,0.9924,331,0.57,109,5.87,Australia
131,57,0.26,0.25,10.4,0.02,7,57,0.994,339,0.37,106,5.3,Italy
132,65,0.24,0.32,7.6,0.038,48,203,0.9958,345,0.54,97,6.75,Australia
133,65,0.425,0.4,13.1,0.038,59,241,0.9979,323,0.57,9,4.67,Italy
134,66,0.24,0.27,15.8,0.035,46,188,0.9982,324,0.51,92,4.91,Australia
135,68,0.27,0.22,8.1,0.034,55,203,0.9961,319,0.52,89,5.29,Italy
136,67,0.27,0.31,15.7,0.036,44,179,0.9979,326,0.56,96,4.83,USA
137,82,0.23,0.4,1.2,0.027,36,121,0.992,312,0.38,107,6.19,France
138,71,0.37,0.67,10.5,0.045,49,155,0.9975,316,0.44,87,4.63,Australia
139,68,0.19,0.36,1.9,0.035,30,96,0.9917,315,0.54,108,7.43,Italy
140,81,0.28,0.39,1.9,0.029,18,79,0.9923,323,0.52,118,6.44,Spain
141,63,0.31,0.34,2.2,0.045,20,77,0.9927,33,0.43,102,4.98,USA
142,71,0.37,0.67,10.5,0.045,49,155,0.9975,316,0.44,87,4.77,Spain
143,79,0.21,0.4,1.2,0.039,38,107,0.992,321,0.54,108,6.35,Spain
144,85,0.21,0.41,4.3,0.036,24,99,0.9947,318,0.53,97,6.14,Italy
145,81,0.2,0.4,2,0.037,19,87,0.9921,312,0.54,112,6.17,Australia
146,63,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,109,6.25,Italy
147,56,0.16,0.27,1.4,0.044,53,168,0.9918,328,0.37,101,6.28,Spain
148,64,0.595,0.14,5.2,0.058,15,97,0.9951,338,0.36,9,3.7199999999999998,France
149,63,0.34,0.33,4.6,0.034,19,80,0.9917,338,0.58,12,6.54,France
150,69,0.25,0.3,4.1,0.054,23,116,0.994,299,0.38,94,5.94,Italy
151,79,0.22,0.38,8,0.043,46,152,0.9934,312,0.32,115,7.0600000000000005,Italy
152,76,0.18,0.46,10.2,0.055,58,135,0.9968,314,0.43,99,5.79,USA
153,69,0.25,0.3,4.1,0.054,23,116,0.994,299,0.38,94,5.57,Australia
154,72,0.18,0.41,1.2,0.048,41,97,0.9919,314,0.45,104,5.01,Italy
155,82,0.23,0.4,7.5,0.049,12,76,0.9966,306,0.84,97,6.1,USA
156,74,0.24,0.42,14,0.066,48,198,0.9979,289,0.42,89,6.18,Italy
157,74,0.24,0.42,14,0.066,48,198,0.9979,289,0.42,89,5.57,Italy
158,61,0.32,0.24,1.5,0.036,38,124,0.9898,329,0.42,124,6.82,Australia
159,52,0.44,0.04,1.4,0.036,43,119,0.9894,336,0.33,121,7.71,France
160,52,0.44,0.04,1.4,0.036,43,119,0.9894,336,0.33,121,8.16,Spain
161,61,0.32,0.24,1.5,0.036,38,124,0.9898,329,0.42,124,6.98,USA
162,64,0.22,0.56,14.5,0.055,27,159,0.998,298,0.4,91,4.5,Italy
163,63,0.36,0.3,4.8,0.049,14,85,0.9932,328,0.39,106,5.32,USA
164,74,0.24,0.42,14,0.066,48,198,0.9979,289,0.42,89,6.01,Italy
165,67,0.24,0.35,13.1,0.05,64,205,0.997,315,0.5,95,4.58,Australia
166,7,0.23,0.36,13,0.051,72,177,0.9972,316,0.49,98,5.32,USA
167,84,0.27,0.46,8.7,0.048,39,197,0.9974,314,0.59,96,6.49,USA
168,67,0.46,0.18,2.4,0.034,25,98,0.9896,308,0.44,126,7.5,Spain
169,75,0.29,0.31,8.95,0.055,20,151,0.9968,308,0.54,93,4.75,USA
170,98,0.42,0.48,9.85,0.034,5,110,0.9958,287,0.29,10,4.98,France
171,71,0.3,0.46,1.5,0.066,29,133,0.9906,312,0.54,127,6.49,Australia
172,79,0.19,0.45,1.5,0.045,17,96,0.9917,313,0.39,11,5.86,Spain
173,76,0.48,0.37,0.8,0.037,4,100,0.9902,303,0.39,114,4.38,Spain
174,63,0.22,0.43,4.55,0.038,31,130,0.9918,335,0.33,115,7.12,France
175,75,0.27,0.31,17.7,0.051,33,173,0.999,309,0.64,102,5.2,Australia
176,69,0.23,0.4,7.5,0.04,50,151,0.9927,311,0.27,114,5.5,Spain
177,72,0.32,0.47,5.1,0.044,19,65,0.991,303,0.41,126,3.73,France
178,59,0.23,0.3,12.9,0.054,57,170,0.9972,328,0.39,94,5.33,Spain
179,6,0.67,0.07,1.2,0.06,9,108,0.9931,311,0.35,87,4.15,France
180,64,0.25,0.32,5.5,0.049,41,176,0.995,319,0.68,92,6.3,Australia
181,64,0.33,0.31,5.5,0.048,42,173,0.9951,319,0.66,93,6.46,Australia
182,71,0.34,0.15,1.2,0.053,61,183,0.9936,309,0.43,92,4.95,France
183,68,0.28,0.4,22,0.048,48,167,1.001,293,0.5,87,4.62,Spain
184,69,0.27,0.4,14,0.05,64,227,0.9979,318,0.58,96,6.45,Australia
185,68,0.26,0.56,11.9,0.043,64,226,0.997,302,0.63,93,5,USA
186,68,0.29,0.56,11.9,0.043,66,230,0.9972,302,0.63,93,5.05,Australia
187,67,0.24,0.41,9.4,0.04,49,166,0.9954,312,0.61,99,5.84,USA
188,59,0.3,0.23,4.2,0.038,42,119,0.9924,315,0.5,11,4.51,Italy
189,68,0.53,0.35,3.8,0.034,26,109,0.9906,326,0.57,127,8.11,Italy
190,65,0.28,0.28,8.5,0.047,54,210,0.9962,309,0.54,89,4,USA
191,66,0.28,0.28,8.5,0.052,55,211,0.9962,309,0.55,89,6.49,Australia
192,68,0.28,0.4,22,0.048,48,167,1.001,293,0.5,87,4.58,Australia
193,68,0.28,0.36,8,0.045,28,123,0.9928,302,0.37,114,5.93,Spain
194,66,0.15,0.34,5.1,0.055,34,125,0.9942,336,0.42,96,4.65,Italy
195,64,0.29,0.44,3.6,0.2,75,181,0.9942,302,0.41,91,5.2,Spain
196,64,0.3,0.45,3.5,0.197,76,180,0.9942,302,0.39,91,6.46,Italy
197,64,0.29,0.44,3.6,0.197,75,183,0.9942,301,0.38,91,5.38,USA
198,68,0.26,0.24,7.8,0.052,54,214,0.9961,313,0.47,89,4.64,France
199,71,0.32,0.24,13.1,0.05,52,204,0.998,31,0.49,88,5.29,France
200,68,0.26,0.24,7.8,0.052,54,214,0.9961,313,0.47,89,4.86,Spain
201,68,0.27,0.26,16.1,0.049,55,196,0.9984,315,0.5,93,4.82,Australia
202,71,0.32,0.24,13.1,0.05,52,204,0.998,31,0.49,88,5.09,USA
203,69,0.54,0.32,13.2,0.05,53,236,0.9973,32,0.5,96,5.05,France
204,68,0.26,0.34,13.9,0.034,39,134,0.9949,333,0.53,12,5.65,Italy
205,58,0.28,0.35,2.3,0.053,36,114,0.9924,328,0.5,102,4.32,France
206,64,0.21,0.5,11.6,0.042,45,153,0.9972,315,0.43,88,4.96,Spain
207,7,0.16,0.32,8.3,0.045,38,126,0.9958,321,0.34,92,5.08,Italy
208,102,0.44,0.88,6.2,0.049,20,124,0.9968,299,0.51,99,3.87,Spain
209,68,0.57,0.29,2.2,0.04,15,77,0.9938,332,0.74,102,5.16,USA
210,61,0.4,0.31,0.9,0.048,23,170,0.993,322,0.77,95,5.89,Italy
211,56,0.245,0.25,9.7,0.032,12,68,0.994,331,0.34,105,4.63,Spain
212,68,0.18,0.38,1.4,0.038,35,111,0.9918,332,0.59,112,6.94,Australia
213,7,0.16,0.32,8.3,0.045,38,126,0.9958,321,0.34,92,4.82,USA
214,67,0.13,0.29,5.3,0.051,31,122,0.9944,344,0.37,97,5.52,Australia
215,62,0.25,0.25,1.4,0.03,35,105,0.9912,33,0.44,111,7.5,France
216,58,0.26,0.24,9.2,0.044,55,152,0.9961,331,0.38,94,4.72,Italy
217,75,0.27,0.36,7,0.036,45,164,0.9939,303,0.33,11,4.62,Spain
218,58,0.26,0.24,9.2,0.044,55,152,0.9961,331,0.38,94,4.86,Australia
219,57,0.28,0.24,17.5,0.044,60,167,0.9989,331,0.44,94,5.39,Spain
220,75,0.23,0.36,7,0.036,43,161,0.9938,304,0.32,11,4.88,France
221,75,0.27,0.36,7,0.036,45,164,0.9939,303,0.33,11,4.64,Spain
222,72,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,91,5.58,Italy
223,62,0.25,0.25,1.4,0.03,35,105,0.9912,33,0.44,111,6.9,Spain
224,65,0.19,0.3,0.8,0.043,33,144,0.9936,342,0.39,91,5.71,Italy
225,63,0.495,0.22,1.8,0.046,31,140,0.9929,339,0.54,104,6.27,USA
226,71,0.24,0.41,17.8,0.046,39,145,0.9998,332,0.39,87,5.04,Australia
227,64,0.17,0.32,2.4,0.048,41,200,0.9938,35,0.5,97,5.91,USA
228,71,0.25,0.32,10.3,0.041,66,272,0.9969,317,0.52,91,6.03,USA
229,64,0.17,0.32,2.4,0.048,41,200,0.9938,35,0.5,97,5.71,USA
230,71,0.24,0.41,17.8,0.046,39,145,0.9998,332,0.39,87,4.58,Italy
231,68,0.64,0.08,9.7,0.062,26,142,0.9972,337,0.46,89,3.87,France
232,83,0.28,0.4,7.8,0.041,38,194,0.9976,334,0.51,96,6.3,USA
233,82,0.27,0.39,7.8,0.039,49,208,0.9976,331,0.51,95,5.75,Italy
234,72,0.23,0.38,14.3,0.058,55,194,0.9979,309,0.44,9,5.67,USA
235,72,0.23,0.38,14.3,0.058,55,194,0.9979,309,0.44,9,5.91,France
236,72,0.23,0.38,14.3,0.058,55,194,0.9979,309,0.44,9,6.29,Spain
237,72,0.23,0.38,14.3,0.058,55,194,0.9979,309,0.44,9,5.83,Australia
238,68,0.52,0.32,13.2,0.044,54,221,0.9972,327,0.5,96,6.19,Italy
239,7,0.26,0.59,1.4,0.037,40,120,0.9918,334,0.41,111,6.63,France
240,62,0.25,0.21,15.55,0.039,28,159,0.9982,348,0.64,96,6.43,Australia
241,73,0.32,0.23,13.7,0.05,49,197,0.9985,32,0.46,87,5.44,Italy
242,77,0.31,0.26,7.8,0.031,23,90,0.9944,313,0.5,104,4.98,Italy
243,71,0.21,0.37,2.4,0.026,23,100,0.9903,315,0.38,114,6.77,USA
244,68,0.24,0.34,2.7,0.047,645,2185,0.9934,33,0.58,97,6.35,Italy
245,69,0.4,0.56,11.2,0.043,40,142,0.9975,314,0.46,87,5.14,USA
246,61,0.18,0.36,2,0.038,20,2495,0.9923,337,0.79,113,6.17,Spain
247,68,0.21,0.27,2.1,0.03,26,139,0.99,316,0.61,126,7.25,Spain
248,58,0.2,0.27,1.4,0.031,12,77,0.9905,325,0.36,109,7.28,Spain
249,56,0.19,0.26,1.4,0.03,12,76,0.9905,325,0.37,109,6.72,Spain
250,61,0.41,0.14,10.4,0.037,18,119,0.996,338,0.45,10,4.54,France
251,59,0.21,0.28,4.6,0.053,40,199,0.9964,372,0.7,10,3.94,France
252,85,0.26,0.21,16.2,0.074,41,197,0.998,302,0.5,98,3.06,France
253,69,0.4,0.56,11.2,0.043,40,142,0.9975,314,0.46,87,4.79,USA
254,58,0.24,0.44,3.5,0.029,5,109,0.9913,353,0.43,117,2.57,Spain
255,58,0.24,0.39,1.5,0.054,37,158,0.9932,321,0.52,93,6.01,France
256,67,0.26,0.39,1.1,0.04,45,147,0.9935,332,0.58,96,8.1,Australia
257,63,0.35,0.3,5.7,0.035,8,97,0.9927,327,0.41,11,7.18,France
258,63,0.35,0.3,5.7,0.035,8,97,0.9927,327,0.41,11,6.57,USA
259,64,0.23,0.39,1.8,0.032,23,118,0.9912,332,0.5,118,5.82,France
260,58,0.36,0.38,0.9,0.037,3,75,0.9904,328,0.34,114,3.71,USA
261,69,0.115,0.35,5.4,0.048,36,108,0.9939,332,0.42,102,6.16,Spain
262,69,0.29,0.4,19.45,0.043,36,156,0.9996,293,0.47,89,4.98,France
263,69,0.28,0.4,8.2,0.036,15,95,0.9944,317,0.33,102,4.5,USA
264,72,0.29,0.4,13.6,0.045,66,231,0.9977,308,0.59,96,6.32,France
265,62,0.24,0.35,1.2,0.038,22,167,0.9912,31,0.48,106,6.01,Australia
266,69,0.29,0.4,19.45,0.043,36,156,0.9996,293,0.47,89,4.58,Australia
267,69,0.32,0.26,8.3,0.053,32,180,0.9965,325,0.51,92,6.32,Spain
268,53,0.58,0.07,6.9,0.043,34,149,0.9944,334,0.57,97,5.49,France
269,53,0.585,0.07,7.1,0.044,34,145,0.9945,334,0.57,97,6.5,Australia
270,54,0.59,0.07,7,0.045,36,147,0.9944,334,0.57,97,5.75,Spain
271,69,0.32,0.26,8.3,0.053,32,180,0.9965,325,0.51,92,5.98,USA
272,52,0.6,0.07,7,0.044,33,147,0.9944,333,0.58,97,5.49,Australia
273,58,0.25,0.26,13.1,0.051,44,148,0.9972,329,0.38,93,4.86,France
274,66,0.58,0.3,5.1,0.057,30,123,0.9949,324,0.38,9,5.38,Italy
275,7,0.29,0.54,10.7,0.046,59,234,0.9966,305,0.61,95,5.12,USA
276,66,0.19,0.41,8.9,0.046,51,169,0.9954,314,0.57,98,6.2,Italy
277,67,0.2,0.41,9.1,0.044,50,166,0.9954,314,0.58,98,5.5,Spain
278,77,0.26,0.4,1.1,0.042,9,60,0.9915,289,0.5,106,4.73,Spain
279,68,0.32,0.34,1.2,0.044,14,67,0.9919,305,0.47,106,4.33,Italy
280,7,0.3,0.49,4.7,0.036,17,105,0.9916,326,0.68,124,7.15,Italy
281,7,0.24,0.36,2.8,0.034,22,112,0.99,319,0.38,126,8.3,France
282,61,0.31,0.58,5,0.039,36,114,0.9909,33,0.6,123,8.46,Australia
283,68,0.44,0.37,5.1,0.047,46,201,0.9938,308,0.65,105,3.95,Australia
284,67,0.34,0.3,15.6,0.054,51,196,0.9982,319,0.49,93,4.62,USA
285,71,0.35,0.24,15.4,0.055,46,198,0.9988,312,0.49,88,5.45,Australia
286,73,0.32,0.25,7.2,0.056,47,180,0.9961,308,0.47,88,5,USA
287,65,0.28,0.33,15.7,0.053,51,190,0.9978,322,0.51,97,6.05,USA
288,72,0.23,0.39,14.2,0.058,49,192,0.9979,298,0.48,9,6.84,USA
289,72,0.23,0.39,14.2,0.058,49,192,0.9979,298,0.48,9,6.51,Australia
290,72,0.23,0.39,14.2,0.058,49,192,0.9979,298,0.48,9,7.11,USA
291,72,0.23,0.39,14.2,0.058,49,192,0.9979,298,0.48,9,7,Australia
292,59,0.15,0.31,5.8,0.041,53,155,0.9945,352,0.46,105,6.49,Australia
293,74,0.28,0.42,19.8,0.066,53,195,1,296,0.44,91,4.58,Australia
294,62,0.28,0.22,7.3,0.041,26,157,0.9957,344,0.64,98,6.93,France
295,91,0.59,0.38,1.6,0.066,34,182,0.9968,323,0.38,85,2.65,Italy
296,63,0.33,0.27,1.2,0.046,34,175,0.9934,337,0.54,94,6.2,Australia
297,83,0.39,0.7,10.6,0.045,33,169,0.9976,309,0.57,94,5.46,Italy
298,72,0.19,0.46,3.8,0.041,82,187,0.9932,319,0.6,112,7.38,Australia
299,75,0.17,0.44,11.3,0.046,65,146,0.997,317,0.45,10,5.64,Australia
300,67,0.17,0.5,2.1,0.043,27,122,0.9923,315,0.45,103,6.29,Italy
301,61,0.41,0,1.6,0.063,36,87,0.9914,327,0.67,108,5.86,Australia
302,83,0.2,0.35,0.9,0.05,12,74,0.992,313,0.38,105,5.82,Australia
303,61,0.41,0,1.6,0.063,36,87,0.9914,327,0.67,108,6.09,USA
304,6,0.29,0.21,1.3,0.055,42,168,0.9914,332,0.43,111,6.05,Italy
305,73,0.41,0.24,6.8,0.057,41,163,0.9949,32,0.41,99,5.65,Australia
306,73,0.41,0.24,6.8,0.057,41,163,0.9949,32,0.41,99,6.32,USA
307,72,0.43,0.24,6.7,0.058,40,163,0.995,32,0.41,99,4.96,France
308,73,0.4,0.24,6.7,0.058,41,166,0.995,32,0.41,99,6.08,Spain
309,62,0.33,0.27,4.9,0.036,30,134,0.9927,32,0.42,104,6.87,Italy
310,62,0.31,0.26,4.8,0.037,36,148,0.9928,321,0.41,104,6.16,USA
311,61,0.36,0.27,2.1,0.035,16,100,0.9917,34,0.71,115,6.89,Australia
312,5,0.55,0.14,8.3,0.032,35,164,0.9918,353,0.51,125,7.63,Australia
313,78,0.25,0.41,3.7,0.042,37,149,0.9954,336,0.45,10,5.94,France
