wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,p_h,sulphates,alcohol,quality,region
86,69,0.55,0.15,22,0.076,19,40,0.9961,341,0.59,101,4.569999999999999,Italy
87,86,0.49,0.28,19,0.11,20,136,0.9972,293,1.95,99,6.03,Australia
88,77,0.49,0.26,19,0.062,9,31,0.9966,339,0.64,96,5.23,USA
89,93,0.39,0.44,21,0.107,34,125,0.9978,314,1.22,95,4.239999999999999,USA
90,7,0.62,0.08,18,0.076,8,24,0.9978,348,0.53,9,4.42,France
91,79,0.52,0.26,19,0.079,42,140,0.9964,323,0.54,95,5.119999999999999,Italy
92,86,0.49,0.28,19,0.11,20,136,0.9972,293,1.95,99,6.33,Italy
93,86,0.49,0.29,2,0.11,19,133,0.9972,293,1.98,98,5.04,Spain
94,77,0.49,0.26,19,0.062,9,31,0.9966,339,0.64,96,5.140000000000001,France
95,5,1.02,0.04,14,0.045,41,85,0.9938,375,0.48,105,4.62,USA
96,47,0.6,0.17,23,0.058,17,106,0.9932,385,0.6,129,6.05,Italy
97,68,0.775,0,3,0.102,8,23,0.9965,345,0.56,107,4.739999999999999,France
98,7,0.5,0.25,2,0.07,3,22,0.9963,325,0.63,92,5.8100000000000005,Spain
99,76,0.9,0.06,25,0.079,5,10,0.9967,339,0.56,98,5.21,Australia
100,81,0.545,0.18,19,0.08,13,35,0.9972,33,0.59,9,6.140000000000001,France
101,83,0.61,0.3,21,0.084,11,50,0.9972,34,0.61,102,5.99,Italy
102,78,0.5,0.3,19,0.075,8,22,0.9959,331,0.56,104,6.17,Italy
103,81,0.545,0.18,19,0.08,13,35,0.9972,33,0.59,9,6.04,France
104,81,0.575,0.22,21,0.077,12,65,0.9967,329,0.51,92,5.050000000000001,Australia
105,72,0.49,0.24,22,0.07,5,36,0.996,333,0.48,94,4.99,Italy
106,81,0.575,0.22,21,0.077,12,65,0.9967,329,0.51,92,4.94,France
107,78,0.41,0.68,17,0.467,18,69,0.9973,308,1.31,93,5.51,France
108,62,0.63,0.31,17,0.088,15,64,0.9969,346,0.79,93,5.44,Spain
109,8,0.33,0.53,25,0.091,18,80,0.9976,337,0.8,96,6.46,France
110,81,0.785,0.52,2,0.122,37,153,0.9969,321,0.69,93,4.75,Spain
111,78,0.56,0.19,18,0.104,12,47,0.9964,319,0.93,95,5.37,Australia
112,84,0.62,0.09,22,0.084,11,108,0.9964,315,0.66,98,4.88,France
113,84,0.6,0.1,22,0.085,14,111,0.9964,315,0.66,98,5.07,Spain
114,101,0.31,0.44,23,0.08,22,46,0.9988,332,0.67,97,6.14,Australia
115,78,0.56,0.19,18,0.104,12,47,0.9964,319,0.93,95,4.1499999999999995,Spain
116,94,0.4,0.31,22,0.09,13,62,0.9966,307,0.63,105,6.02,France
117,83,0.54,0.28,19,0.077,11,40,0.9978,339,0.61,10,5.8,Spain
118,78,0.56,0.12,2,0.082,7,28,0.997,337,0.5,94,5.67,Spain
119,88,0.55,0.04,22,0.119,14,56,0.9962,321,0.6,109,6.53,Australia
120,7,0.69,0.08,18,0.097,22,89,0.9959,334,0.54,92,6.62,Italy
121,73,1.07,0.09,17,0.178,10,89,0.9962,33,0.57,9,5.48,Spain
122,88,0.55,0.04,22,0.119,14,56,0.9962,321,0.6,109,6.61,Italy
123,73,0.695,0,25,0.075,3,13,0.998,349,0.52,92,5,Australia
124,8,0.71,0,26,0.08,11,34,0.9976,344,0.53,95,4.75,Italy
125,78,0.5,0.17,16,0.082,21,102,0.996,339,0.48,95,4.44,France
126,9,0.62,0.04,19,0.146,27,90,0.9984,316,0.7,94,4.9399999999999995,Italy
127,82,1.33,0,17,0.081,3,12,0.9964,353,0.49,109,4.72,Italy
128,81,1.33,0,18,0.082,3,12,0.9964,354,0.48,109,4.8999999999999995,USA
129,8,0.59,0.16,18,0.065,3,16,0.9962,342,0.92,105,6.2700000000000005,Italy
130,61,0.38,0.15,18,0.072,6,19,0.9955,342,0.57,94,5.489999999999999,Spain
131,8,0.745,0.56,2,0.118,30,134,0.9968,324,0.66,94,5.23,Spain
132,56,0.5,0.09,23,0.049,17,99,0.9937,363,0.63,13,4.54,USA
133,56,0.5,0.09,23,0.049,17,99,0.9937,363,0.63,13,4.97,Spain
134,66,0.5,0.01,15,0.06,17,26,0.9952,34,0.58,98,5.470000000000001,USA
135,79,1.04,0.05,22,0.084,13,29,0.9959,322,0.55,99,6.29,Italy
136,84,0.745,0.11,19,0.09,16,63,0.9965,319,0.82,96,4.5600000000000005,USA
137,83,0.715,0.15,18,0.089,10,52,0.9968,323,0.77,95,5.13,France
138,72,0.415,0.36,2,0.081,13,45,0.9972,348,0.64,92,5.59,Spain
139,78,0.56,0.19,21,0.081,15,105,0.9962,333,0.54,95,5.11,France
140,78,0.56,0.19,2,0.081,17,108,0.9962,332,0.54,95,5.25,Australia
141,84,0.745,0.11,19,0.09,16,63,0.9965,319,0.82,96,5.1000000000000005,USA
142,83,0.715,0.15,18,0.089,10,52,0.9968,323,0.77,95,5.42,Spain
143,52,0.34,0,18,0.05,27,63,0.9916,368,0.79,14,6.38,France
144,63,0.39,0.08,17,0.066,3,20,0.9954,334,0.58,94,5.069999999999999,Italy
145,52,0.34,0,18,0.05,27,63,0.9916,368,0.79,14,5.91,Italy
146,81,0.67,0.55,18,0.117,32,141,0.9968,317,0.62,94,4.54,Australia
147,58,0.68,0.02,18,0.087,21,94,0.9944,354,0.52,10,5.7299999999999995,Australia
148,76,0.49,0.26,16,0.236,10,88,0.9968,311,0.8,93,5.22,Spain
149,69,0.49,0.1,23,0.074,12,30,0.9959,342,0.58,102,5.8,Australia
150,82,0.4,0.44,28,0.089,11,43,0.9975,353,0.61,105,6.71,Italy
151,73,0.33,0.47,21,0.077,5,11,0.9958,333,0.53,103,5.61,Australia
152,92,0.52,1,34,0.61,32,69,0.9996,274,2,94,4.26,Australia
153,75,0.6,0.03,18,0.095,25,99,0.995,335,0.54,101,4.89,USA
154,75,0.6,0.03,18,0.095,25,99,0.995,335,0.54,101,4.98,Spain
155,71,0.43,0.42,55,0.07,29,129,0.9973,342,0.72,105,4.11,France
156,71,0.43,0.42,55,0.071,28,128,0.9973,342,0.71,105,4.68,Italy
157,71,0.43,0.42,55,0.07,29,129,0.9973,342,0.72,105,4.6,France
158,71,0.43,0.42,55,0.071,28,128,0.9973,342,0.71,105,4.5600000000000005,France
159,71,0.68,0,22,0.073,12,22,0.9969,348,0.5,93,4.609999999999999,France
160,68,0.6,0.18,19,0.079,18,86,0.9968,359,0.57,93,6,USA
161,76,0.95,0.03,2,0.09,7,20,0.9959,32,0.56,96,5.590000000000001,Spain
162,76,0.68,0.02,13,0.072,9,20,0.9965,317,1.08,92,4.199999999999999,France
163,78,0.53,0.04,17,0.076,17,31,0.9964,333,0.56,10,6.1000000000000005,Spain
164,74,0.6,0.26,73,0.07,36,121,0.9982,337,0.49,94,5.75,Italy
165,73,0.59,0.26,72,0.07,35,121,0.9981,337,0.49,94,4.91,France
166,78,0.63,0.48,17,0.1,14,96,0.9961,319,0.62,95,4.79,Spain
167,68,0.64,0.1,21,0.085,18,101,0.9956,334,0.52,102,5.26,Spain
168,73,0.55,0.03,16,0.072,17,42,0.9956,337,0.48,9,4.07,Australia
169,68,0.63,0.07,21,0.089,11,44,0.9953,347,0.55,104,6.54,Italy
170,75,0.705,0.24,18,0.36,15,63,0.9964,3,1.59,95,5.340000000000001,Italy
171,79,0.885,0.03,18,0.058,4,8,0.9972,336,0.33,91,4.26,France
172,8,0.42,0.17,2,0.073,6,18,0.9972,329,0.61,92,5.37,Spain
173,8,0.42,0.17,2,0.073,6,18,0.9972,329,0.61,92,5.8500000000000005,France
174,74,0.62,0.05,19,0.068,24,42,0.9961,342,0.57,115,5.65,Spain
175,73,0.38,0.21,2,0.08,7,35,0.9961,333,0.47,95,5.55,USA
176,69,0.5,0.04,15,0.085,19,49,0.9958,335,0.78,95,5.09,Australia
177,73,0.38,0.21,2,0.08,7,35,0.9961,333,0.47,95,5.86,USA
178,75,0.52,0.42,23,0.087,8,38,0.9972,358,0.61,105,5.45,Italy
179,7,0.805,0,25,0.068,7,20,0.9969,348,0.56,96,5.0200000000000005,Australia
180,88,0.61,0.14,24,0.067,10,42,0.9969,319,0.59,95,5.39,Australia
181,88,0.61,0.14,24,0.067,10,42,0.9969,319,0.59,95,5.37,France
182,89,0.61,0.49,2,0.27,23,110,0.9972,312,1.02,93,5.2,USA
183,72,0.73,0.02,25,0.076,16,42,0.9972,344,0.52,93,4.6000000000000005,France
184,68,0.61,0.2,18,0.077,11,65,0.9971,354,0.58,93,4.7700000000000005,Spain
185,67,0.62,0.21,19,0.079,8,62,0.997,352,0.58,93,6.71,USA
186,89,0.31,0.57,2,0.111,26,85,0.9971,326,0.53,97,4.12,Italy
187,74,0.39,0.48,2,0.082,14,67,0.9972,334,0.55,92,4.569999999999999,Spain
188,77,0.705,0.1,26,0.084,9,26,0.9976,339,0.49,97,5.03,Australia
189,79,0.5,0.33,2,0.084,15,143,0.9968,32,0.55,95,5.23,Australia
190,79,0.49,0.32,19,0.082,17,144,0.9968,32,0.55,95,4.239999999999999,Italy
191,82,0.5,0.35,29,0.077,21,127,0.9976,323,0.62,94,4.42,Italy
192,64,0.37,0.25,19,0.074,21,49,0.9974,357,0.62,98,6.119999999999999,Australia
193,68,0.63,0.12,38,0.099,16,126,0.9969,328,0.61,95,5.33,France
194,76,0.55,0.21,22,0.071,7,28,0.9964,328,0.55,97,5.04,Australia
195,76,0.55,0.21,22,0.071,7,28,0.9964,328,0.55,97,5.140000000000001,USA
196,78,0.59,0.33,2,0.074,24,120,0.9968,325,0.54,94,5.62,USA
197,73,0.58,0.3,24,0.074,15,55,0.9968,346,0.59,102,5.05,Australia
198,115,0.3,0.6,2,0.067,12,27,0.9981,311,0.97,101,5.739999999999999,Australia
199,54,0.835,0.08,12,0.046,13,93,0.9924,357,0.85,13,7.8100000000000005,Australia
200,69,1.09,0.06,21,0.061,12,31,0.9948,351,0.43,114,4.21,Spain
201,96,0.32,0.47,14,0.056,9,24,0.99695,322,0.82,103,7.140000000000001,Australia
202,88,0.37,0.48,21,0.097,39,145,0.9975,304,1.03,93,4.99,Spain
203,68,0.5,0.11,15,0.075,16,49,0.99545,336,0.79,95,5.17,USA
204,7,0.42,0.35,16,0.088,16,39,0.9961,334,0.55,92,5.04,France
205,7,0.43,0.36,16,0.089,14,37,0.99615,334,0.56,92,6.050000000000001,Spain
206,128,0.3,0.74,26,0.095,9,28,0.9994,32,0.77,108,6.99,France
207,128,0.3,0.74,26,0.095,9,28,0.9994,32,0.77,108,6.94,Australia
208,78,0.57,0.31,18,0.069,26,120,0.99625,329,0.53,93,5.51,France
209,78,0.44,0.28,27,0.1,18,95,0.9966,322,0.67,94,5.44,Australia
210,11,0.3,0.58,21,0.054,7,19,0.998,331,0.88,105,7.46,Australia
211,97,0.53,0.6,2,0.039,5,19,0.99585,33,0.86,124,5.75,Australia
212,8,0.725,0.24,28,0.083,10,62,0.99685,335,0.56,10,6.37,Italy
213,116,0.44,0.64,21,0.059,5,15,0.998,321,0.67,102,5.88,France
214,82,0.57,0.26,22,0.06,28,65,0.9959,33,0.43,101,5.07,Italy
215,78,0.735,0.08,24,0.092,10,41,0.9974,324,0.71,98,6.14,Australia
216,7,0.49,0.49,56,0.06,26,121,0.9974,334,0.76,105,4.1499999999999995,USA
217,87,0.625,0.16,2,0.101,13,49,0.9962,314,0.57,11,5.02,USA
218,81,0.725,0.22,22,0.072,11,41,0.9967,336,0.55,91,4.8,France
219,75,0.49,0.19,19,0.076,10,44,0.9957,339,0.54,97,4.67,Italy
220,78,0.53,0.33,24,0.08,24,144,0.99655,33,0.6,95,5.53,Australia
221,78,0.34,0.37,2,0.082,24,58,0.9964,334,0.59,94,6.62,France
222,74,0.53,0.26,2,0.101,16,72,0.9957,315,0.57,94,5.48,France
223,68,0.61,0.04,15,0.057,5,10,0.99525,342,0.6,95,5.61,Australia
224,86,0.645,0.25,2,0.083,8,28,0.99815,328,0.6,10,6,Italy
225,84,0.635,0.36,2,0.089,15,55,0.99745,331,0.57,104,3.75,USA
226,77,0.43,0.25,26,0.073,29,63,0.99615,337,0.58,105,5.44,Italy
227,89,0.59,0.5,2,0.337,27,81,0.9964,304,1.61,95,5.9399999999999995,Spain
228,9,0.82,0.14,26,0.089,9,23,0.9984,339,0.63,98,4.72,Spain
229,77,0.43,0.25,26,0.073,29,63,0.99615,337,0.58,105,5.8999999999999995,France
230,69,0.52,0.25,26,0.081,10,37,0.99685,346,0.5,11,4.2700000000000005,USA
231,52,0.48,0.04,16,0.054,19,106,0.9927,354,0.62,122,7.489999999999999,Italy
232,8,0.38,0.06,18,0.078,12,49,0.99625,337,0.52,99,6.23,USA
233,85,0.37,0.2,28,0.09,18,58,0.998,334,0.7,96,5.54,Italy
234,69,0.52,0.25,26,0.081,10,37,0.99685,346,0.5,11,4.97,Spain
235,82,1,0.09,23,0.065,7,37,0.99685,332,0.55,9,5.470000000000001,Australia
236,72,0.63,0,19,0.097,14,38,0.99675,337,0.58,9,6.29,France
237,72,0.63,0,19,0.097,14,38,0.99675,337,0.58,9,5.5600000000000005,Spain
238,72,0.645,0,19,0.097,15,39,0.99675,337,0.58,92,6.13,France
239,72,0.63,0,19,0.097,14,38,0.99675,337,0.58,9,6.59,Italy
240,82,1,0.09,23,0.065,7,37,0.99685,332,0.55,9,6.11,Spain
241,89,0.635,0.37,17,0.263,5,62,0.9971,3,1.09,93,5.25,Spain
242,12,0.38,0.56,21,0.093,6,24,0.99925,314,0.71,109,6.1000000000000005,Spain
243,77,0.58,0.1,18,0.102,28,109,0.99565,308,0.49,98,6.42,Italy
244,15,0.21,0.44,22,0.075,10,24,1.00005,307,0.84,92,7.38,Italy
245,15,0.21,0.44,22,0.075,10,24,1.00005,307,0.84,92,7.069999999999999,Italy
246,73,0.66,0,2,0.084,6,23,0.9983,361,0.96,99,5.91,Australia
247,71,0.68,0.07,19,0.075,16,51,0.99685,338,0.52,95,4.54,Australia
248,82,0.6,0.17,23,0.072,11,73,0.9963,32,0.45,93,5.7299999999999995,Italy
249,77,0.53,0.06,17,0.074,9,39,0.99615,335,0.48,98,6.22,USA
250,73,0.66,0,2,0.084,6,23,0.9983,361,0.96,99,5.8,Spain
251,108,0.32,0.44,16,0.063,16,37,0.9985,322,0.78,10,6.71,Spain
252,71,0.6,0,18,0.074,16,34,0.9972,347,0.7,99,5.61,France
253,111,0.35,0.48,31,0.09,5,21,0.9986,317,0.53,105,5.26,USA
254,77,0.775,0.42,19,0.092,8,86,0.9959,323,0.59,95,4.89,Spain
255,71,0.6,0,18,0.074,16,34,0.9972,347,0.7,99,5.98,USA
256,8,0.57,0.23,32,0.073,17,119,0.99675,326,0.57,93,4.11,France
257,94,0.34,0.37,22,0.075,5,13,0.998,322,0.62,92,4.68,Spain
258,66,0.695,0,21,0.075,12,56,0.9968,349,0.67,92,4.6,Italy
259,77,0.41,0.76,18,0.611,8,45,0.9968,306,1.26,94,4.5600000000000005,Spain
260,10,0.31,0.47,26,0.085,14,33,0.99965,336,0.8,105,6.609999999999999,Australia
261,79,0.33,0.23,17,0.077,18,45,0.99625,329,0.65,93,5,USA
262,7,0.975,0.04,2,0.087,12,67,0.99565,335,0.6,94,4.590000000000001,Australia
263,8,0.52,0.03,17,0.07,10,35,0.99575,334,0.57,10,5.199999999999999,Italy
264,79,0.37,0.23,18,0.077,23,49,0.9963,328,0.67,93,5.1000000000000005,France
265,125,0.56,0.49,24,0.064,5,27,0.9999,308,0.87,109,5.75,France
266,118,0.26,0.52,18,0.071,6,10,0.9968,32,0.72,102,6.91,Italy
267,81,0.87,0,33,0.096,26,61,1.00025,36,0.72,98,3.79,Italy
268,79,0.35,0.46,36,0.078,15,37,0.9973,335,0.86,128,8.26,Spain
269,69,0.54,0.04,3,0.077,7,27,0.9987,369,0.91,94,6.07,Italy
270,115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6.54,Spain
271,79,0.545,0.06,4,0.087,27,61,0.9965,336,0.67,107,6.340000000000001,Australia
272,115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6.26,Italy
273,109,0.37,0.58,4,0.071,17,65,0.99935,322,0.78,101,4.37,Italy
274,84,0.715,0.2,24,0.076,10,38,0.99735,331,0.64,94,4.8500000000000005,France
275,75,0.65,0.18,7,0.088,27,94,0.99915,338,0.77,94,4.65,France
276,79,0.545,0.06,4,0.087,27,61,0.9965,336,0.67,107,6.55,Australia
277,69,0.54,0.04,3,0.077,7,27,0.9987,369,0.91,94,6.09,Spain
278,115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6.86,Italy
279,103,0.32,0.45,64,0.073,5,13,0.9976,323,0.82,126,7.45,Australia
280,89,0.4,0.32,56,0.087,10,47,0.9991,338,0.77,105,7.0200000000000005,France
281,114,0.26,0.44,36,0.071,6,19,0.9986,312,0.82,93,6.39,USA
282,77,0.27,0.68,35,0.358,5,10,0.9972,325,1.08,99,7.37,Spain
283,76,0.52,0.12,3,0.067,12,53,0.9971,336,0.57,91,5.2,France
284,89,0.4,0.32,56,0.087,10,47,0.9991,338,0.77,105,6.6000000000000005,USA
285,99,0.59,0.07,34,0.102,32,71,1.00015,331,0.71,98,4.7700000000000005,Italy
286,99,0.59,0.07,34,0.102,32,71,1.00015,331,0.71,98,5.71,France
287,12,0.45,0.55,2,0.073,25,49,0.9997,31,0.76,103,5.12,USA
288,75,0.4,0.12,3,0.092,29,53,0.9967,337,0.7,103,5.569999999999999,Australia
289,87,0.52,0.09,25,0.091,20,49,0.9976,334,0.86,106,7.03,USA
290,116,0.42,0.53,33,0.105,33,98,1.001,32,0.95,92,5.23,France
291,87,0.52,0.09,25,0.091,20,49,0.9976,334,0.86,106,6.239999999999999,USA
292,11,0.2,0.48,2,0.343,6,18,0.9979,33,0.71,105,4.42,Italy
293,104,0.55,0.23,27,0.091,18,48,0.9994,322,0.64,103,6.119999999999999,Italy
294,69,0.36,0.25,24,0.098,5,16,0.9964,341,0.6,101,6.33,USA
295,133,0.34,0.52,32,0.094,17,53,1.0014,305,0.81,95,6.04,Spain
296,108,0.5,0.46,25,0.073,5,27,1.0001,305,0.64,95,5.140000000000001,Spain
297,106,0.83,0.37,26,0.086,26,70,0.9981,316,0.52,99,5.62,Australia
298,71,0.63,0.06,2,0.083,8,29,0.99855,367,0.73,96,5.05,USA
299,72,0.65,0.02,23,0.094,5,31,0.9993,367,0.8,97,4.739999999999999,USA
300,69,0.67,0.06,21,0.08,8,33,0.99845,368,0.71,96,5.8100000000000005,Spain
301,75,0.53,0.06,26,0.086,20,44,0.9965,338,0.59,107,6.21,Spain
302,111,0.18,0.48,15,0.068,7,15,0.9973,322,0.64,101,6.140000000000001,Spain
303,83,0.705,0.12,26,0.092,12,28,0.9994,351,0.72,10,4.99,USA
304,74,0.67,0.12,16,0.186,5,21,0.996,339,0.54,95,5.17,USA
305,84,0.65,0.6,21,0.112,12,90,0.9973,32,0.52,92,5.04,Italy
306,103,0.53,0.48,25,0.063,6,25,0.9998,312,0.59,93,6.050000000000001,USA
307,76,0.62,0.32,22,0.082,7,54,0.9966,336,0.52,94,4.99,Spain
308,103,0.41,0.42,24,0.213,6,14,0.9994,319,0.62,95,5.94,Italy
309,103,0.43,0.44,24,0.214,5,12,0.9994,319,0.63,95,6.51,Italy
310,74,0.29,0.38,17,0.062,9,30,0.9968,341,0.53,95,6.44,France
311,103,0.53,0.48,25,0.063,6,25,0.9998,312,0.59,93,6.46,Australia
312,79,0.53,0.24,2,0.072,15,105,0.996,327,0.54,94,5.75,Italy
313,9,0.46,0.31,28,0.093,19,98,0.99815,332,0.63,95,6.37,Italy
314,86,0.47,0.3,3,0.076,30,135,0.9976,33,0.53,94,4.88,France
315,74,0.36,0.29,26,0.087,26,72,0.99645,339,0.68,11,5.07,USA
316,71,0.35,0.29,25,0.096,20,53,0.9962,342,0.65,11,6.14,USA
317,96,0.56,0.23,34,0.102,37,92,0.9996,33,0.65,101,4.1499999999999995,France
318,96,0.77,0.12,29,0.082,30,74,0.99865,33,0.64,104,6.02,USA
319,98,0.66,0.39,32,0.083,21,59,0.9989,337,0.71,115,6.8,USA
