gender,age,class,embarked,country,fare,sibsp,parch,survived
male,20,3rd,Southampton,Sweden,7.1701,0,0,no
male,17,2nd,Southampton,Argentina,11.1,0,0,no
male,27,2nd,Southampton,England,10.1,0,0,no
female,62,1st,Cherbourg,United States,77.1902,1,0,yes
male,39,1st,Belfast,Northern Ireland,NA,0,0,no
male,26,3rd,Southampton,Bulgaria,7.1711,0,0,no
female,36,2nd,Southampton,England,26,1,0,yes
male,31,2nd,Southampton,England,26,1,0,no
female,53,1st,Southampton,United States,51.0907,2,0,yes
male,25,3rd,Southampton,Switzerland,17.16,1,0,no
female,18,3rd,Southampton,Switzerland,17.16,1,0,no
male,25,3rd,Southampton,Sweden,7.1506,0,0,no
male,71,1st,Cherbourg,Argentina,49.1001,0,0,no
male,57,2nd,Southampton,England,13,0,0,no
male,35,3rd,Southampton,Argentina,7.01,0,0,no
male,5,3rd,Southampton,Sweden,31.0709,4,2,no
male,9,3rd,Southampton,Sweden,31.0709,4,2,no
male,3,3rd,Southampton,Sweden,31.0709,4,2,yes
male,13,3rd,Southampton,Sweden,31.0709,4,2,no
female,5,3rd,Southampton,Sweden,31.0709,4,2,yes
male,40,3rd,Southampton,Sweden,31.0709,1,5,no
male,13,3rd,Southampton,Sweden,7.1511,0,0,yes
female,38,3rd,Southampton,Sweden,31.0709,1,5,yes
female,45,3rd,Cherbourg,Lebanon,7.0406,0,0,yes
male,23,3rd,Southampton,Argentina,7.01,0,0,no
male,47,1st,Cherbourg,United States,247.1006,1,0,no
female,18,1st,Cherbourg,United States,247.1006,1,0,yes
female,17,3rd,Cherbourg,Lebanon,14.0902,0,0,no
male,27,3rd,Cherbourg,Canada,7.0406,0,0,no
female,24,1st,Cherbourg,France,69.06,0,0,yes
male,23,3rd,Southampton,Sweden,7.1701,0,0,no
female,15,3rd,Cherbourg,Lebanon,7.0407,0,0,yes
male,32,3rd,Southampton,Finland,15.17,1,0,no
female,33,3rd,Southampton,Finland,15.17,3,0,yes
female,3,3rd,Cherbourg,Lebanon,19.0502,2,1,yes
female,0.75,3rd,Cherbourg,Lebanon,19.0502,2,1,yes
female,5,3rd,Cherbourg,Lebanon,19.0502,2,1,yes
female,23,3rd,Cherbourg,Lebanon,19.0502,0,3,yes
female,18,3rd,Southampton,England,8.01,0,0,yes
male,40,3rd,Cherbourg,Lebanon,7.0406,0,0,no
male,18,2nd,Southampton,England,11.1,0,0,no
male,22,2nd,Southampton,Channel Islands,10.1,0,0,no
male,26,3rd,Southampton,Bosnia,7.1711,0,0,no
female,36,2nd,Southampton,England,13,0,0,yes
male,28,2nd,Southampton,England,10.1,0,0,no
female,31,3rd,Southampton,Hungary,8.1308,0,0,yes
female,18,3rd,Cherbourg,Lebanon,14.0901,0,1,no
female,45,3rd,Cherbourg,Lebanon,14.0901,0,1,no
female,27,1st,Southampton,NA,78.17,0,0,yes
male,47,1st,Southampton,England,30,0,0,yes
female,33,3rd,Queenstown,Ireland,7.1707,0,0,no
male,22,3rd,Southampton,England,8.01,0,0,no
female,32,1st,Cherbourg,Italy,76.051,0,0,yes
male,52,2nd,Southampton,England,12.1006,0,0,no
male,23,3rd,Southampton,Bulgaria,7.1711,0,0,no
male,60,1st,Cherbourg,United States,25.1806,0,0,no
male,24,1st,Cherbourg,Canada,247.1005,0,1,no
female,50,1st,Cherbourg,Canada,247.1005,0,1,yes
male,32,2nd,Southampton,England,26,1,0,yes
female,22,2nd,Southampton,England,26,1,0,yes
male,36,1st,Southampton,Canada,75.041,0,0,no
male,44,2nd,Southampton,England,26,0,0,no
male,20,3rd,Southampton,England,8.01,0,0,no
male,1,2nd,Southampton,India,39,2,1,yes
female,4,2nd,Southampton,India,39,2,1,yes
female,12,2nd,Southampton,India,39,2,1,yes
female,35,2nd,Southampton,United States,39,0,3,yes
male,37,1st,Southampton,United States,52.1101,1,1,yes
female,46,1st,Southampton,United States,52.1101,1,1,yes
male,34,2nd,Southampton,England,13,0,0,yes
male,26,1st,Cherbourg,United States,30,0,0,yes
male,26,3rd,Southampton,Sweden,7.1506,0,0,no
female,19,2nd,Southampton,United States,13,0,0,yes
male,22,3rd,Southampton,Finland,9.07,0,0,no
male,23,2nd,Southampton,England,13,0,0,no
female,39,1st,Cherbourg,United States,63.0702,0,0,yes
female,46,1st,Cherbourg,NA,247.1006,0,0,yes
male,32,3rd,Southampton,NA,56.0911,0,0,yes
female,31,1st,Southampton,England,221.1507,0,0,yes
male,21,3rd,Southampton,Norway,7.1506,0,0,no
male,24,1st,Cherbourg,NA,26,0,0,no
male,25,1st,Cherbourg,United States,91.0107,1,0,yes
female,19,1st,Cherbourg,United States,91.0107,1,0,yes
male,18,3rd,Southampton,Sweden,7.15,0,0,no
male,28,1st,Southampton,Sweden,26.11,0,0,yes
male,45,1st,Southampton,United States,35.1,0,0,no
male,39,1st,Cherbourg,United States,31,0,0,yes
female,30,1st,Southampton,United States,164.1704,0,0,yes
female,61,1st,Southampton,England,26.11,0,0,yes
male,41,1st,Southampton,England,26.11,0,0,no
male,26,3rd,Southampton,NA,7.1711,0,0,no
male,25,2nd,Southampton,United States,13,0,0,no
female,40,3rd,Queenstown,Ireland,7.15,0,2,no
male,42,3rd,Queenstown,Ireland,15.1,1,1,no
female,32,3rd,Queenstown,Ireland,15.1,1,1,no
female,45,1st,Cherbourg,United States,262.0706,0,0,yes
male,26,3rd,Southampton,Wales,16.02,0,0,no
male,42,2nd,Southampton,NA,13,0,0,no
female,22,1st,Southampton,England,55,0,1,yes
male,30,2nd,Southampton,United States,13,0,0,no
female,22,3rd,Queenstown,Ireland,7.1406,0,0,yes
male,41,1st,Southampton,United States,30.1,0,0,no
female,20,3rd,Southampton,Sweden,7.1701,0,0,no
male,24,2nd,Southampton,England,NA,NA,NA,no
male,48,1st,Cherbourg,United States,50.0911,0,0,no
male,29,3rd,Southampton,England,7,1,0,no
male,23,3rd,Southampton,England,7.05,1,0,no
male,37,1st,Southampton,United States,26.11,0,0,yes
male,46,1st,Cherbourg,United States,39.12,0,0,no
male,20,2nd,Southampton,France,NA,NA,NA,no
male,32,2nd,Southampton,NA,13,0,0,no
male,22,3rd,Southampton,Sweden,7.1511,0,0,no
male,40,3rd,Southampton,England,8.01,0,0,no
female,18,2nd,Southampton,England,13,0,0,yes
female,15,2nd,Southampton,South Africa,39,0,2,yes
female,59,1st,Southampton,United States,51.0907,2,0,yes
female,40,2nd,Southampton,South Africa,39,1,1,yes
female,44,1st,Cherbourg,United States,27.1405,0,0,yes
male,60,2nd,Southampton,South Africa,39,1,1,no
female,20,2nd,Southampton,Sweden,26,1,0,yes
male,25,2nd,Southampton,Sweden,26,1,0,no
female,22,3rd,Queenstown,Ireland,7.0508,0,0,no
male,21,3rd,Queenstown,Ireland,7.1517,0,0,yes
female,58,1st,Cherbourg,India,76.051,0,0,yes
male,7,3rd,Cherbourg,Lebanon,15.0411,1,1,no
female,10,3rd,Cherbourg,Lebanon,15.0411,1,1,no
female,40,3rd,Cherbourg,Lebanon,15.0411,0,2,no
male,19,3rd,Queenstown,Ireland,6.15,0,0,no
female,41,1st,Cherbourg,NA,134.1,0,0,yes
female,17,3rd,Queenstown,Ireland,7.1707,0,0,no
female,36,2nd,Southampton,England,13,0,0,yes
male,26,2nd,Southampton,England,13,0,0,no
male,21,3rd,Cherbourg,Lebanon,7.0407,0,0,no
male,46,1st,Southampton,United States,26.11,0,0,no
male,42,2nd,Southampton,England,13,0,0,no
female,40,2nd,Southampton,United States,13,0,0,yes
female,21,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
female,30,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
male,18,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
male,38,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
male,28,1st,Southampton,Scotland,31,0,0,no
male,42,1st,Southampton,United States,26.0509,0,0,yes
male,0.8333333333,2nd,Southampton,Siam,29,0,2,yes
male,26,2nd,Southampton,Siam,29,1,1,yes
female,28,2nd,Southampton,United States,29,1,1,yes
male,17,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
male,17,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
female,35,2nd,Southampton,England,21,0,0,yes
male,21,2nd,Belfast,Northern Ireland,NA,0,0,no
female,22,3rd,Queenstown,Ireland,7.15,0,0,no
male,21,3rd,Queenstown,Ireland,7.15,0,0,no
female,52,1st,Cherbourg,United States,27.0811,0,0,yes
male,29,3rd,Southampton,England,8.01,0,0,no
male,28,3rd,Cherbourg,Canada,14.0902,1,0,no
female,18,3rd,Cherbourg,Lebanon,14.0902,1,0,no
male,19,2nd,Southampton,England,13,0,0,no
female,58,1st,Cherbourg,United States,512.0607,0,1,yes
male,36,1st,Cherbourg,United States,512.0607,0,1,yes
male,28,3rd,Southampton,Sweden,7.1511,0,0,no
male,24,3rd,Southampton,Sweden,7.1701,0,0,no
male,33,1st,Southampton,United States,5,0,0,no
male,17,1st,Southampton,Uruguay,47.02,0,0,no
male,27,1st,Southampton,Uruguay,47.02,0,0,no
female,45,3rd,Queenstown,Ireland,7.15,0,0,no
male,54,2nd,Southampton,England,26,1,0,no
male,11,1st,Southampton,United States,120,1,2,yes
female,13,1st,Southampton,United States,120,1,2,yes
female,45,2nd,Southampton,England,26,1,0,no
female,36,1st,Southampton,United States,120,1,2,yes
male,36,1st,Southampton,United States,120,1,2,yes
male,28,3rd,Southampton,England,7.05,0,0,no
male,49,1st,Southampton,United States,26,0,0,no
female,36,1st,Cherbourg,United States,27.1405,0,0,yes
female,25,1st,Southampton,United States,78.17,1,0,yes
male,36,1st,Southampton,England,78.17,1,0,no
male,24,3rd,Southampton,NA,8.01,0,0,no
male,46,1st,Southampton,United States,61.0306,1,0,no
female,47,1st,Southampton,United States,61.0306,1,0,yes
male,27,1st,Southampton,United States,53.02,1,0,yes
female,32,1st,Southampton,United States,53.02,1,0,yes
male,52,2nd,Southampton,United States,13.1,0,0,no
male,37,2nd,Southampton,England,26,1,0,no
female,29,2nd,Southampton,England,26,1,0,no
male,20,3rd,Queenstown,Ireland,7.1408,0,0,no
female,36,1st,Cherbourg,NA,262.0706,0,0,yes
female,30,1st,Southampton,England,86.1,0,0,yes
male,45,1st,Cherbourg,Belgium,29.14,0,0,yes
female,48,1st,Southampton,England,55,0,1,yes
male,32,3rd,Southampton,NA,56.0911,0,0,yes
male,43,1st,Belfast,Scotland,NA,0,0,no
male,29,3rd,Southampton,England,8.01,0,0,no
female,25,2nd,Southampton,England,30,1,1,yes
female,52,2nd,Southampton,England,30,0,2,yes
male,26,3rd,Cherbourg,NA,14.0901,1,0,no
male,21,3rd,Cherbourg,NA,14.0901,1,0,no
male,29,2nd,Southampton,England,26,1,0,no
male,28,2nd,Southampton,England,NA,NA,NA,no
female,28,2nd,Southampton,England,27,1,0,yes
female,26,1st,Cherbourg,United States,136.1507,1,0,yes
male,27,1st,Cherbourg,United States,136.1507,1,0,no
female,22,1st,Southampton,England,151.16,0,0,yes
male,40,1st,Southampton,United States,52,0,0,no
male,20,3rd,Southampton,NA,7.01,0,0,no
male,18,3rd,Southampton,England,8.01,0,0,yes
male,24,3rd,Queenstown,Ireland,7.05,0,0,no
male,24,3rd,Southampton,Bulgaria,7.1711,0,0,no
male,29,2nd,Southampton,England,10.1,0,0,no
male,27,2nd,Southampton,Finland,13,0,0,no
male,25,2nd,Southampton,England,10.1,0,0,yes
male,37,1st,Southampton,Ireland,25.1109,0,0,no
female,8,2nd,Southampton,England,26.05,0,2,yes
male,31,2nd,Southampton,England,26.05,1,1,no
female,30,2nd,Southampton,England,26.05,1,1,yes
male,36,3rd,Southampton,Bulgaria,7.1711,0,0,no
female,39,1st,Cherbourg,United States,83.0302,1,1,yes
male,37,1st,Cherbourg,United States,83.0302,1,1,no
female,64,1st,Cherbourg,United States,83.0302,0,2,yes
male,31,3rd,Queenstown,United States,7.1408,0,0,no
male,40,3rd,Queenstown,Ireland,7.15,0,0,no
female,23,3rd,Queenstown,Ireland,7.15,0,0,yes
female,41,3rd,Queenstown,Ireland,7.1207,0,0,no
male,66,3rd,Queenstown,Ireland,7.15,0,0,no
male,43,3rd,Southampton,NA,8.01,0,0,no
female,22,2nd,Southampton,England,10.1,0,0,yes
female,30,2nd,Southampton,United States,13,0,0,no
female,32,2nd,Southampton,NA,21,0,0,no
male,35,3rd,Southampton,Croatia (Modern),7.1711,0,0,no
male,27,3rd,Southampton,Hungary,7.1711,0,0,no
male,19,3rd,Southampton,Hungary,7.1711,0,0,no
male,30,3rd,Southampton,Poland,8.01,0,0,no
female,55,1st,Southampton,United States,25.141,2,0,yes
female,16,3rd,Queenstown,Ireland,7.15,0,0,yes
male,21,2nd,Southampton,England,11.1,0,0,no
male,3,3rd,Southampton,England,15.18,1,1,yes
male,9,3rd,Southampton,England,15.18,1,1,yes
female,36,3rd,Southampton,England,15.18,0,2,yes
male,58,3rd,Southampton,England,7.05,0,0,no
male,59,1st,Southampton,United States,26.11,0,0,no
male,20,3rd,Southampton,United States,8.0302,0,0,no
female,16,3rd,Southampton,United States,16.02,0,1,yes
male,43,3rd,Southampton,Australia,16.02,0,1,no
male,70,1st,Southampton,United States,71,1,1,no
female,39,1st,Southampton,United States,26.11,0,2,yes
female,64,1st,Southampton,United States,71,1,1,yes
male,17,3rd,Southampton,Croatia (Modern),8.1303,0,0,no
male,39,1st,Cherbourg,United States,71.0508,1,0,no
female,35,1st,Cherbourg,Peru,71.0508,1,0,yes
male,22,2nd,Belfast,Northern Ireland,NA,0,0,no
male,28,3rd,Cherbourg,NA,7.0407,0,0,no
female,22,3rd,Southampton,Sweden,10.1004,0,0,no
male,45,3rd,Southampton,NA,8.01,0,0,yes
male,19,3rd,Southampton,NA,10.0305,0,0,no
female,33,3rd,Queenstown,Ireland,6.19,0,0,yes
male,29,3rd,Queenstown,Ireland,7.15,0,0,yes
male,51,1st,Southampton,England,26.11,0,0,yes
male,0.3333333333,3rd,Southampton,Sweden,14.08,0,2,no
male,34,3rd,Southampton,Sweden,14.08,1,1,no
female,28,3rd,Southampton,Sweden,14.08,1,1,no
male,27,1st,Southampton,United States,30.1,0,0,yes
female,36,1st,Southampton,England,151.16,0,0,yes
male,27,3rd,Southampton,NA,7.1711,0,0,no
female,27,1st,Cherbourg,Canada,52,1,2,yes
male,31,1st,Cherbourg,Canada,52,1,0,no
male,8,2nd,Southampton,England,36.15,1,1,yes
male,24,3rd,Southampton,England,24.03,2,0,no
male,19,2nd,Southampton,England,73.1,0,0,no
male,22,3rd,Southampton,Wales,8.01,0,0,no
male,22,3rd,Southampton,England,24.03,2,0,no
male,17,3rd,Southampton,England,8.01,2,0,no
female,48,2nd,Southampton,England,36.15,0,2,yes
female,28,2nd,Southampton,England,13,0,0,yes
female,34,3rd,Southampton,England,16.02,1,0,yes
male,32,3rd,Southampton,England,16.02,1,0,no
male,18,2nd,Southampton,England,73.1,0,0,no
male,1,3rd,Southampton,England,20.1106,1,2,yes
female,0.1666666667,3rd,Southampton,England,20.1106,1,2,yes
male,25,3rd,Southampton,England,20.1106,1,2,no
female,32,3rd,Southampton,England,20.1106,1,2,yes
male,25,3rd,Southampton,Bosnia,7.1711,0,0,no
female,24,2nd,Cherbourg,Italy,27.1405,1,0,yes
male,29,2nd,Cherbourg,Italy,27.1405,1,0,no
male,36,3rd,Southampton,United States,17.08,1,0,yes
female,36,3rd,Southampton,United States,17.08,1,0,yes
male,30,3rd,Southampton,Belgium,9.1,0,0,yes
male,25,2nd,Southampton,Channel Islands,31.1,0,0,no
male,30,3rd,Southampton,NA,7.1711,0,0,no
male,22,3rd,Southampton,England,7.05,0,0,no
male,26,3rd,Southampton,England,7.05,0,0,no
male,16,3rd,Southampton,Belgium,9.1,0,0,no
female,19,3rd,Queenstown,Ireland,7.1707,0,0,yes
male,18,2nd,Southampton,England,73.1,0,0,no
male,31,1st,Southampton,Canada,57,1,0,yes
female,17,1st,Southampton,United States,57,1,0,yes
male,17,3rd,Southampton,Croatia (Modern),7.1711,0,0,no
male,42,3rd,Southampton,Hungary,8.1303,0,0,no
male,43,3rd,Southampton,NA,7.1711,0,0,no
male,52,1st,Southampton,United States,81.1702,1,1,yes
male,4,1st,Southampton,United States,81.1702,0,2,yes
female,34,1st,Southampton,United States,81.1702,1,1,yes
female,18,2nd,Southampton,England,23,0,1,yes
female,34,2nd,Southampton,England,23,0,1,yes
female,21,3rd,Queenstown,Ireland,7.15,0,0,no
male,37,3rd,Queenstown,Ireland,7.15,0,0,no
male,18,3rd,Southampton,England,8.01,0,0,yes
male,22,3rd,Queenstown,Ireland,8.0902,0,0,no
female,48,1st,Cherbourg,United States,106.0806,1,0,yes
female,27,1st,Cherbourg,Canada,247.1005,1,1,yes
male,50,1st,Cherbourg,United States,106.0806,1,0,no
male,55,2nd,Southampton,England,26,0,0,no
female,31,3rd,Southampton,United States,12.0906,0,0,yes
female,28,3rd,Queenstown,Ireland,7.15,0,0,no
male,33,3rd,Cherbourg,Croatia (Modern),7.1711,0,0,no
male,8,2nd,Southampton,United States,32.1,0,2,yes
male,42,2nd,Southampton,England,32.1,1,1,no
female,34,2nd,Southampton,United States,32.1,1,1,yes
female,27,3rd,Queenstown,Ireland,7.15,0,0,yes
female,24,3rd,Southampton,England,8.01,0,0,yes
female,48,1st,Cherbourg,England,56.1807,1,0,yes
male,49,1st,Cherbourg,England,39.12,1,0,yes
male,39,1st,Cherbourg,United States,29.14,0,0,no
male,24,3rd,Southampton,Channel Islands,7.11,0,0,yes
female,27,2nd,Cherbourg,Spain,13.1702,1,0,yes
female,30,2nd,Cherbourg,Spain,13.1702,1,0,yes
male,65,3rd,Queenstown,Ireland,7.15,0,0,no
male,23,3rd,Southampton,United States,13.18,1,0,no
female,22,3rd,Southampton,United States,13.18,1,0,yes
female,23,1st,Cherbourg,United States,83.0302,0,1,yes
male,18,3rd,Southampton,Sweden,7.1506,0,0,no
male,25,2nd,Southampton,United States,13,0,0,no
male,16,3rd,Southampton,Sweden,7.1506,0,0,no
male,45,3rd,Southampton,Sweden,6.1906,0,0,no
male,29,3rd,Cherbourg,NA,7.0406,0,0,no
male,15,3rd,Cherbourg,Lebanon,7.0407,1,1,no
male,22,3rd,Cherbourg,Lebanon,7.0407,1,1,no
male,48,3rd,Southampton,England,7.05,0,0,no
female,5,3rd,Southampton,United States,12.0906,0,0,yes
male,21,2nd,Southampton,Sweden,13,0,0,no
female,39,1st,Cherbourg,United States,247.1006,0,0,yes
male,37,3rd,Southampton,NA,7.01,0,0,no
female,54,1st,Cherbourg,United States,78.0504,1,0,yes
female,36,1st,Cherbourg,United States,31.1307,0,0,no
male,38,3rd,Southampton,England,15.02,0,0,no
male,18,2nd,Southampton,Norway,13,0,0,no
male,46,3rd,Southampton,England,7.05,0,0,no
male,26,3rd,Queenstown,Ireland,7.15,0,0,no
male,49,1st,Southampton,England,221.1507,0,0,no
male,32,2nd,Southampton,England,26,1,0,no
male,18,2nd,Southampton,England,10.1,0,0,no
male,34,3rd,Southampton,NA,7.01,0,0,yes
male,18,3rd,Southampton,Sweden,7.1511,0,0,no
female,48,1st,Cherbourg,United States,31.1308,0,0,yes
female,22,3rd,Queenstown,Ireland,7.15,0,0,no
female,42,1st,Cherbourg,United States,110.1708,0,0,yes
male,28,3rd,Queenstown,Ireland,7.15,0,0,no
male,48,3rd,Queenstown,Ireland,6.19,0,0,no
male,36,1st,Southampton,Canada,26.0509,0,0,yes
male,19,3rd,Queenstown,Ireland,7.1707,0,0,no
male,20,3rd,Queenstown,Ireland,7.15,0,0,no
male,32,3rd,Southampton,NA,56.0911,0,0,yes
female,20,3rd,Southampton,England,34.0706,2,2,no
female,7,3rd,Southampton,England,34.0706,2,2,no
male,23,3rd,Southampton,England,8.01,0,0,no
male,18,3rd,Southampton,England,34.0706,2,2,no
female,54,3rd,Southampton,Scotland,34.0706,1,3,no
male,14,3rd,Southampton,England,34.0706,1,3,no
male,30,1st,Southampton,United States,27.15,0,0,no
female,24,1st,Southampton,Canada,263,3,2,yes
female,28,1st,Southampton,Canada,263,3,2,yes
female,23,1st,Southampton,Canada,263,3,2,yes
male,19,1st,Southampton,Canada,263,3,2,no
male,64,1st,Southampton,Canada,263,1,4,no
female,60,1st,Southampton,Canada,263,1,4,yes
male,28,3rd,Queenstown,Ireland,7.15,0,0,no
male,38,2nd,Southampton,United States,13,0,0,no
female,32,1st,Cherbourg,England,56.1807,0,0,yes
male,37,1st,Southampton,England,26.11,0,0,no
male,49,1st,Southampton,United States,133.13,2,0,yes
male,43,1st,Cherbourg,United States,27.1405,1,0,yes
female,42,1st,Southampton,United States,133.13,1,0,yes
female,22,1st,Cherbourg,Switzerland,49.1,0,2,yes
male,60,1st,Cherbourg,Switzerland,79.04,1,1,yes
female,48,1st,Cherbourg,Switzerland,79.04,1,1,yes
male,39,2nd,Belfast,England,NA,0,0,no
male,39,1st,Southampton,England,NA,0,0,no
female,38,2nd,Southampton,India,13,0,0,no
male,37,1st,Southampton,England,53.02,1,0,no
female,35,1st,Southampton,England,53.02,1,0,yes
male,36,2nd,Southampton,England,26,0,0,no
male,38,2nd,Southampton,England,21,1,0,no
male,33,2nd,Southampton,England,21,1,0,no
male,29,3rd,Queenstown,Ireland,7.141,0,0,no
male,23,3rd,Southampton,England,14.1,0,0,no
female,39,2nd,Southampton,England,13,0,0,yes
male,19,2nd,Southampton,England,26,0,0,no
male,26,2nd,Southampton,Channel Islands,10.1,0,0,no
male,47,1st,Southampton,England,38.1,0,0,no
female,38,3rd,Cherbourg,United States,7.0407,0,0,yes
male,21,3rd,Cherbourg,Lebanon,7.0406,0,0,no
male,NA,3rd,Cherbourg,Bulgaria,7.1711,0,0,no
female,22,1st,Cherbourg,United States,59.08,0,1,yes
female,44,1st,Cherbourg,United States,59.08,0,1,yes
female,35,1st,Southampton,NA,211.1,0,0,yes
male,23,1st,Cherbourg,NA,79.04,0,0,no
male,47,2nd,Southampton,England,10.1,0,0,no
male,19,2nd,Southampton,England,11.1,1,0,no
male,21,2nd,Southampton,England,11.1,1,0,no
male,24,2nd,Southampton,England,13.1,0,0,no
male,23,3rd,Southampton,Wales,8.01,0,0,no
male,31,2nd,Southampton,Ireland,13,0,0,no
male,24,2nd,Southampton,England,13,0,0,no
female,17,3rd,Queenstown,Ireland,7.1408,0,0,yes
male,30,2nd,Southampton,Argentina,13,0,0,no
female,18,3rd,Queenstown,Ireland,7.15,0,0,yes
male,47,1st,Cherbourg,United States,89.0201,1,0,yes
female,40,1st,Cherbourg,United States,89.0201,1,0,yes
male,71,1st,Cherbourg,United States,34.1301,0,0,no
male,9,3rd,Southampton,England,20.1006,0,2,yes
male,33,3rd,Southampton,England,20.1006,1,1,no
male,41,3rd,Southampton,NA,7.17,0,0,no
female,31,3rd,Southampton,England,20.1006,1,1,yes
male,9,3rd,Southampton,England,46.18,5,2,no
male,1,3rd,Southampton,England,46.18,5,2,no
male,11,3rd,Southampton,England,46.18,5,2,no
female,10,3rd,Southampton,England,46.18,5,2,no
female,16,3rd,Southampton,England,46.18,5,2,no
male,14,3rd,Southampton,England,46.18,5,2,no
male,42,3rd,Southampton,England,46.18,1,6,no
female,43,3rd,Southampton,England,46.18,1,6,no
male,53,1st,Southampton,United States,28.1,0,0,yes
female,19,1st,Southampton,England,153.0903,0,0,yes
male,38,1st,Southampton,Canada,30,0,1,no
female,59,1st,Southampton,England,153.0903,0,1,yes
male,52,2nd,Southampton,South Africa,13,0,0,no
female,45,1st,Cherbourg,United States,63.0702,0,1,yes
male,23,1st,Cherbourg,United States,63.0702,0,1,yes
male,20,engineering crew,Southampton,England,0,0,0,no
male,41,3rd,Southampton,England,8.01,0,0,no
male,32,3rd,Southampton,Norway,8.0615,0,0,no
male,25,3rd,Southampton,England,8.01,0,0,no
male,46,1st,Cherbourg,France,79.04,0,0,no
male,19,3rd,Southampton,Finland,9.1611,0,0,no
male,37,3rd,Southampton,Finland,7.1806,2,0,no
male,28,3rd,Southampton,Finland,7.1806,2,0,no
male,19,3rd,Southampton,Sweden,7.1506,0,0,no
female,24,3rd,Southampton,Switzerland,8.17,0,0,no
male,28,3rd,Southampton,Norway,6.1904,1,0,no
male,19,3rd,Southampton,Norway,6.1904,1,0,no
male,28,3rd,Southampton,Finland,15.17,1,0,no
female,24,3rd,Southampton,Finland,15.17,1,0,yes
male,30,2nd,Southampton,England,13,0,0,no
male,0.5833333333,2nd,Southampton,United States,14.1,1,1,yes
female,23,2nd,Southampton,United States,14.1,0,2,yes
male,19,3rd,Southampton,Belgium,9.1,0,0,no
male,27,3rd,Cherbourg,Lebanon,7.0407,0,0,yes
male,18,3rd,Cherbourg,Lebanon,7.0406,0,0,no
male,35,3rd,Cherbourg,Lebanon,7.0407,0,0,no
male,41,3rd,Southampton,United States,14.0202,2,0,no
male,26,3rd,Southampton,Denmark,7.1701,1,0,no
male,21,3rd,Southampton,Denmark,7.1701,0,0,no
female,45,3rd,Southampton,United States,14.0202,1,0,yes
male,45,2nd,Southampton,United States,13,0,0,no
male,25,1st,Cherbourg,United States,55.081,1,0,yes
female,21,1st,Cherbourg,United States,55.081,1,0,yes
female,17,3rd,Queenstown,Ireland,7.1408,0,0,no
female,21,3rd,Southampton,England,7.11,0,0,no
female,6,2nd,Southampton,Scotland,33,0,1,yes
male,48,1st,Cherbourg,United States,76.1407,1,0,yes
female,49,1st,Cherbourg,United States,76.1407,1,0,yes
male,39,2nd,Southampton,Scotland,33,0,1,no
