original_title,title,homepage,budget,original_language,overview,popularity,release_date,revenue,runtime,tagline,vote_average,vote_count
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,http://disney.go.com/disneypictures/pirates/,200000000,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,20/06/2006,1065659812,151,Jack is back!,7,5246
The Lone Ranger,The Lone Ranger,http://disney.go.com/the-lone-ranger/,255000000,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,03/07/2013,89289910,149,Never Take Off the Mask,5.9,2311
Man of Steel,Man of Steel,http://www.manofsteel.com/,225000000,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,12/06/2013,662845518,143,You will believe that a man can fly.,6.5,6359
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,,225000000,en,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,15/05/2008,419651413,150,Hope has a new face.,6.3,1630
The Avengers,The Avengers,http://marvel.com/avengers_movie/,220000000,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,25/04/2012,1519557910,143,Some assembly required.,7.4,11776
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,380000000,en,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,14/05/2011,1045713802,136,Live Forever Or Die Trying.,6.4,4948
Men in Black 3,Men in Black 3,http://www.sonypictures.com/movies/meninblack3/,225000000,en,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,23/05/2012,624026776,106,They are back... in time.,6.2,4160
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,http://www.thehobbit.com/,250000000,en,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,10/12/2014,956019788,144,Witness the defining chapter of the Middle-Earth saga,7.1,4760
The Amazing Spider-Man,The Amazing Spider-Man,http://www.theamazingspiderman.com,215000000,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,27/06/2012,752215857,136,The untold story begins.,6.5,6586
Robin Hood,Robin Hood,http://www.robinhoodthemovie.com/,200000000,en,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,12/05/2010,310669540,140,"Rise and rise again, until lambs become lions.",6.2,1398
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,http://www.thehobbit.com/,250000000,en,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,11/12/2013,958400000,161,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4524
The Golden Compass,The Golden Compass,http://www.goldencompassmovie.com/index_german.html,180000000,en,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,04/12/2007,372234864,113,There are worlds beyond our own - the compass will show the way.,5.8,1303
King Kong,King Kong,,207000000,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,14/12/2005,550000000,187,The eighth wonder of the world.,6.6,2337
Titanic,Titanic,http://www.titanicmovie.com,200000000,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,18/11/1997,1845034188,194,Nothing on Earth could come between them.,7.5,7562
Captain America: Civil War,Captain America: Civil War,http://marvel.com/captainamericapremiere,250000000,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,27/04/2016,1153304495,147,Divided We Fall,7.1,7241
Battleship,Battleship,,209000000,en,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,11/04/2012,303025485,131,The Battle for Earth Begins at Sea,5.5,2114
Jurassic World,Jurassic World,http://www.jurassicworld.com/,150000000,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,09/06/2015,1513528810,124,The park is open.,6.5,8662
Skyfall,Skyfall,http://www.skyfall-movie.com,200000000,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,25/10/2012,1108561013,143,Think on your sins.,6.9,7604
Spider-Man 2,Spider-Man 2,http://www.sonypictures.com/movies/spider-man2/,200000000,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,25/06/2004,783766341,127,There's a hero in all of us.,6.7,4321
Iron Man 3,Iron Man 3,http://marvel.com/ironman3,200000000,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,18/04/2013,1215439994,130,Unleash the power behind the armor.,6.8,8806
Alice in Wonderland,Alice in Wonderland,http://disney.go.com/wonderland/,200000000,en,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,03/03/2010,1025491110,108,You're invited to a very important date.,6.4,4645
X-Men: The Last Stand,X-Men: The Last Stand,,210000000,en,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,24/05/2006,459359555,104,Take a Stand,6.3,3525
Monsters University,Monsters University,,200000000,en,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,20/06/2013,743559607,104,School never looked this scary.,7,3528
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,http://www.transformersmovie.com/,150000000,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663,19/06/2009,836297228,150,Revenge is coming.,6,3138
Transformers: Age of Extinction,Transformers: Age of Extinction,http://www.transformersmovie.com,210000000,en,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296,25/06/2014,1091405097,165,This is not war. It's extinction.,5.8,3095
Oz: The Great and Powerful,Oz: The Great and Powerful,http://www.ozthegreatandpowerfulmovie.com,200000000,en,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,07/03/2013,491868548,130,"In Oz, nothing is what it seems",5.7,3530
The Amazing Spider-Man 2,The Amazing Spider-Man 2,http://www.theamazingspiderman.com,200000000,en,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217,16/04/2014,705717432,142,No more secrets.,6.5,4179
TRON: Legacy,TRON: Legacy,http://disney.go.com/tron/,170000000,en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,10/12/2010,400062763,125,The Game Has Changed.,6.3,2841
Cars 2,Cars 2,http://www.disney.go.com/cars/,200000000,en,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,11/06/2011,559852396,106,Ka-ciao!,5.8,2033
Green Lantern,Green Lantern,http://greenlanternmovie.warnerbros.com/,200000000,en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,16/06/2011,219851172,114,"In our darkest hour, there will be light.",5.1,2487
Toy Story 3,Toy Story 3,http://disney.go.com/toystory/,200000000,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",59.995418,16/06/2010,1066969703,103,No toy gets left behind.,7.6,4597
Terminator Salvation,Terminator Salvation,https://www.warnerbros.com/terminator-salvation,200000000,en,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",71.862892,20/05/2009,371353001,115,The End Begins.,5.9,2463
Furious 7,Furious 7,http://www.furious7.com/,190000000,en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,102.322217,01/04/2015,1506249360,137,Vengeance Hits Home,7.3,4176
World War Z,World War Z,http://www.worldwarzmovie.com,200000000,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",81.834855,20/06/2013,531865000,116,Remember Philly!,6.7,5560
X-Men: Days of Future Past,X-Men: Days of Future Past,http://www.x-menmovies.com/,250000000,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,118.078691,15/05/2014,747862775,131,"To save the future, they must alter the past",7.5,6032
Star Trek Into Darkness,Star Trek Into Darkness,,190000000,en,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",78.291018,05/05/2013,467365246,132,Earth Will Fall,7.4,4418
Jack the Giant Slayer,Jack the Giant Slayer,http://jackthegiantkiller.warnerbros.com,195000000,en,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",43.349855,27/02/2013,197687603,114,Prepare for a giant adventure,5.5,2598
The Great Gatsby,The Great Gatsby,,105000000,en,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",61.196071,10/05/2013,351040419,143,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3,3769
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,http://disney.go.com/disneypictures/princeofpersia,150000000,en,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",62.169881,19/05/2010,335154643,116,Defy the Future,6.2,2317
Pacific Rim,Pacific Rim,http://www.pacificrimmovie.com/,180000000,en,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",56.523205,11/07/2013,407602906,131,"To Fight Monsters, We Created Monsters",6.7,4794
Transformers: Dark of the Moon,Transformers: Dark of the Moon,http://www.transformersmovie.com/,195000000,en,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",28.529607,28/06/2011,1123746996,154,The invasion we always feared. An enemy we never expected.,6.1,3299
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,http://www.indianajones.com/site/index.html,185000000,en,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,21/05/2008,786636033,122,The adventure continues . . .,5.7,2495
The Good Dinosaur,The Good Dinosaur,http://movies.disney.com/the-good-dinosaur,175000000,en,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,51.692953,14/11/2015,331926147,93,Little Arms With Big Attitude,6.6,1736
Brave,Brave,http://disney.go.com/brave/#/home,185000000,en,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",125.114374,21/06/2012,538983207,93,Change your fate.,6.7,4641
Star Trek Beyond,Star Trek Beyond,http://www.startrekmovie.com/,185000000,en,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",65.352913,07/07/2016,343471816,122,,6.6,2568
WALL·E,WALL·E,http://disney.go.com/disneypictures/wall-e/,180000000,en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",66.390712,22/06/2008,521311860,98,An adventure beyond the ordinar-E.,7.8,6296
Rush Hour 3,Rush Hour 3,,140000000,en,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",22.57178,08/08/2007,258022233,91,The Rush Is On!,6.1,783
2012,2012,http://www.sonypictures.com/movies/2012,200000000,en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,10/10/2009,769653595,158,We Were Warned.,5.6,4903
A Christmas Carol,A Christmas Carol,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,200000000,en,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",39.744242,04/11/2009,325233863,96,Season's Greedings,6.6,1095
Jupiter Ascending,Jupiter Ascending,http://www.jupiterascending.com,176000003,en,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",85.36908,04/02/2015,183987723,124,Expand your universe.,5.2,2768
The Legend of Tarzan,The Legend of Tarzan,http://legendoftarzan.com,180000000,en,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",42.741719,29/06/2016,356743061,109,Human. Nature.,5.5,2430
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,180000000,en,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",67.391328,07/12/2005,748806957,143,Evil Has Reigned For 100 Years...,6.7,2629
X-Men: Apocalypse,X-Men: Apocalypse,http://www.foxmovies.com/movies/x-men-apocalypse,178000000,en,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",139.272042,18/05/2016,543934787,144,Only the strong will survive,6.4,4721
The Dark Knight,The Dark Knight,http://thedarkknight.warnerbros.com/dvdsite/,185000000,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,16/07/2008,1004558444,152,Why So Serious?,8.2,12002
Up,Up,http://disney.go.com/disneypictures/up/,175000000,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",92.201962,13/05/2009,735099082,96,,7.7,6870
Monsters vs Aliens,Monsters vs Aliens,http://www.monstersvsaliens.com/,175000000,en,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",36.167578,19/03/2009,381509870,94,"When aliens attack, monsters fight back.",6,1423
Iron Man,Iron Man,http://www.ironmanmovie.com/,140000000,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",120.725053,30/04/2008,585174222,126,Heroes aren't born. They're built.,7.4,8776
